Date,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2025-01-06,426.3607841744266,432.6565862275622,423.85044657634234,426.21136474609375,20573600
2025-01-07,427.356962317073,429.00063686122985,419.18835553907815,420.7523498535156,18139100
2025-01-08,421.8381668103431,425.3347334633813,419.9255373117582,422.9339599609375,15054600
2025-01-10,423.0036976315441,423.0833778600729,413.4304875422897,417.345458984375,20201100
2025-01-13,413.6496498082875,416.8971739621178,410.71096634455273,415.5921936035156,17604800
2025-01-14,416.2098216251219,418.13242259689986,409.1469793562449,414.0780334472656,16935900
2025-01-15,417.5247525233758,426.51019531397225,416.6680304830878,424.67724609375,19637800
2025-01-16,427.0581034768278,427.8450559110229,422.76461308505725,422.953857421875,15300000
2025-01-17,432.4274589059452,432.81597982276594,426.53014915865293,427.3868408203125,26197500
2025-01-21,428.55238804454143,429.2496888722742,423.9699995165458,426.85888671875,26085700
2025-01-22,435.8841650351672,445.5569677171093,434.33014218783535,444.4910888671875,27803800
2025-01-23,440.30716256200645,445.03897030447143,439.8090775364838,444.9991149902344,18389300
2025-01-24,443.4550766157881,444.9393603072831,439.70946738545626,442.3592834472656,15549500
2025-01-27,422.3860783898249,433.5332238334213,421.8780219291722,432.8956604003906,35647800
2025-01-28,432.93552501884864,446.66274757404807,429.72785612913765,445.4872741699219,23491700
2025-01-29,444.97921209968376,445.16848684550723,438.7132938317083,440.6358947753906,23581400
2025-01-30,417.1661258658952,421.24045777086803,411.57762641112805,413.4006042480469,54586300
2025-01-31,417.3753368711932,419.0787791378778,413.32091748728266,413.4703369140625,34223400
2025-02-03,410.02361028085903,413.819015846871,407.09486781879804,409.3462219238281,25679100
2025-02-04,411.1094311345796,412.3347312724244,408.1707172498281,410.7906494140625,20532100
2025-02-05,410.77072053658367,412.2450327338191,408.828176805576,411.7071228027344,16316700
2025-02-06,412.41441067873023,416.59833715024297,412.41441067873023,414.2274475097656,16309800
2025-02-07,414.8849302333569,417.0466023053385,406.5370200109021,408.1806945800781,22886800
2025-02-10,412.12548842823685,413.86878595463395,409.3461959746536,410.6412048339844,20817900
2025-02-11,408.07110289586285,410.91016314142485,407.73237833536206,409.86419677734375,18140600
2025-02-12,405.6503805324544,409.1768308737253,402.82126135721137,407.473388671875,19121700
2025-02-13,405.4412009596675,409.4258810673793,404.8036375500993,408.9676513671875,23891700
